Model,MPG,Weight,Grade,Grade Label,Fleet,Region,Emptyish
chevrolet chevelle malibu,18.0,3504.0,1,1,FleetA,North,
buick skylark 320,15.0,3693.0,2,2,FleetA,south,none
plymouth satellite,18.0,3436.0,5,5,FleetA,EAST,ok
amc rebel sst,16.0,3433.0,9,9,FleetA,North,
ford torino,17.0,3449.0,1,1,FleetA,south,none
ford galaxie 500,15.0,4341.0,2,2,FleetA,EAST,ok
chevrolet impala,14.0,4354.0,5,5,FleetA,North,
plymouth fury iii,14.0,4312.0,9,9,FleetA,south,none
pontiac catalina,14.0,4425.0,1,1,FleetA,EAST,ok
amc ambassador dpl,15.0,3850.0,2,2,FleetA,North,
citroen ds-21 pallas,NaN,3090.0,5,5,FleetA,south,none
chevrolet chevelle concours (sw),NaN,4142.0,9,9,FleetA,EAST,ok
ford torino (sw),NaN,4034.0,1,1,FleetA,North,
plymouth satellite (sw),NaN,4166.0,2,2,FleetA,south,none
amc rebel sst (sw),NaN,3850.0,5,5,FleetA,EAST,ok
dodge challenger se,15.0,3563.0,9,9,FleetA,North,
plymouth 'cuda 340,14.0,3609.0,1,1,FleetA,south,none
ford mustang boss 302,NaN,3353.0,2,2,FleetA,EAST,ok
chevrolet monte carlo,15.0,3761.0,5,5,FleetA,North,
buick estate wagon (sw),14.0,3086.0,9,9,FleetA,south,none
toyota corona mark ii,24.0,2372.0,1,1,FleetA,EAST,ok
plymouth duster,22.0,2833.0,2,2,FleetA,North,
amc hornet,18.0,2774.0,5,5,FleetA,south,none
ford maverick,21.0,2587.0,9,9,FleetA,EAST,ok
datsun pl510,27.0,2130.0,1,1,FleetA,North,
volkswagen 1131 deluxe sedan,26.0,1835.0,2,2,FleetA,south,none
peugeot 504,25.0,2672.0,5,5,FleetA,EAST,ok
audi 100 ls,24.0,2430.0,9,9,FleetA,North,
saab 99e,25.0,2375.0,1,1,FleetA,south,none
bmw 2002,26.0,2234.0,2,2,FleetA,EAST,ok
amc gremlin,21.0,2648.0,5,5,FleetA,North,
ford f250,10.0,4615.0,9,9,FleetA,south,none
chevy c20,10.0,4376.0,1,1,FleetA,EAST,ok
dodge d200,11.0,4382.0,2,2,FleetA,North,
hi 1200d,9.0,4732.0,5,5,FleetA,south,none
datsun pl510,27.0,2130.0,9,9,FleetA,EAST,ok
chevrolet vega 2300,28.0,2264.0,1,1,FleetA,North,
toyota corona,25.0,2228.0,2,2,FleetA,south,none
ford pinto,25.0,2046.0,5,5,FleetA,EAST,ok
volkswagen super beetle 117,NaN,1978.0,9,9,FleetA,North,
amc gremlin,19.0,2634.0,1,1,FleetA,south,none
plymouth satellite custom,16.0,3439.0,2,2,FleetA,EAST,ok
chevrolet chevelle malibu,17.0,3329.0,5,5,FleetA,North,
ford torino 500,19.0,3302.0,9,9,FleetA,south,none
amc matador,18.0,3288.0,1,1,FleetA,EAST,ok
chevrolet impala,14.0,4209.0,2,2,FleetA,North,
pontiac catalina brougham,14.0,4464.0,5,5,FleetA,south,none
ford galaxie 500,14.0,4154.0,9,9,FleetA,EAST,ok
plymouth fury iii,14.0,4096.0,1,1,FleetA,North,
dodge monaco (sw),12.0,4955.0,2,2,FleetA,south,none
ford country squire (sw),13.0,4746.0,5,5,FleetA,EAST,ok
pontiac safari (sw),13.0,5140.0,9,9,FleetA,North,
amc hornet sportabout (sw),18.0,2962.0,1,1,FleetA,south,none
chevrolet vega (sw),22.0,2408.0,2,2,FleetA,EAST,ok
pontiac firebird,19.0,3282.0,5,5,FleetA,North,
ford mustang,18.0,3139.0,9,9,FleetA,south,none
mercury capri 2000,23.0,2220.0,1,1,FleetA,EAST,ok
opel 1900,28.0,2123.0,2,2,FleetA,North,
peugeot 304,30.0,2074.0,5,5,FleetA,south,none
fiat 124b,30.0,2065.0,9,9,FleetA,EAST,ok
toyota corolla 1200,31.0,1773.0,1,1,FleetA,North,
datsun 1200,35.0,1613.0,2,2,FleetA,south,none
volkswagen model 111,27.0,1834.0,5,5,FleetA,EAST,ok
plymouth cricket,26.0,1955.0,9,9,FleetA,North,
toyota corona hardtop,24.0,2278.0,1,1,FleetA,south,none
dodge colt hardtop,25.0,2126.0,2,2,FleetA,EAST,ok
volkswagen type 3,23.0,2254.0,5,5,FleetA,North,
chevrolet vega,20.0,2408.0,9,9,FleetA,south,none
ford pinto runabout,21.0,2226.0,1,1,FleetA,EAST,ok
chevrolet impala,13.0,4274.0,2,2,FleetA,North,
pontiac catalina,14.0,4385.0,5,5,FleetA,south,none
plymouth fury iii,15.0,4135.0,9,9,FleetA,EAST,ok
ford galaxie 500,14.0,4129.0,1,1,FleetA,North,
amc ambassador sst,17.0,3672.0,2,2,FleetA,south,none
mercury marquis,11.0,4633.0,5,5,FleetA,EAST,ok
buick lesabre custom,13.0,4502.0,9,9,FleetA,North,
oldsmobile delta 88 royale,12.0,4456.0,1,1,FleetA,south,none
chrysler newport royal,13.0,4422.0,2,2,FleetA,EAST,ok
mazda rx2 coupe,19.0,2330.0,5,5,FleetA,North,
amc matador (sw),15.0,3892.0,9,9,FleetA,south,none
chevrolet chevelle concours (sw),13.0,4098.0,1,1,FleetA,EAST,ok
ford gran torino (sw),13.0,4294.0,2,2,FleetA,North,
plymouth satellite custom (sw),14.0,4077.0,5,5,FleetA,south,none
volvo 145e (sw),18.0,2933.0,9,9,FleetA,EAST,ok
volkswagen 411 (sw),22.0,2511.0,1,1,FleetA,North,
peugeot 504 (sw),21.0,2979.0,2,2,FleetA,south,none
renault 12 (sw),26.0,2189.0,5,5,FleetA,EAST,ok
ford pinto (sw),22.0,2395.0,9,9,FleetA,North,
datsun 510 (sw),28.0,2288.0,1,1,FleetA,south,none
