Model,MPG,Cylinders (categorical),Displacement,Horsepower,Weight,Acceleration,Year,Origin (categorical),Origin Label,Null Trap,Segment,Segment8,Grade (categorical),Grade Label,Fleet,Region,Emptyish,Log Spaced,Long Label,Long Number,Long Code (categorical)
chevrolet chevelle malibu,18.0,8.0,307.0,130.0,3504.0,12.0,70.0,1.0,USA,A,Seg01,SegA,1,1,FleetA,North,,0.001,North American Manufacturing Division Alpha,30000000,12345678901234.5
buick skylark 320,15.0,8.0,350.0,165.0,3693.0,11.5,70.0,1.0,USA,B,Seg02,SegB,2,2,FleetA,south,none,0.0010347008713411979,Southwestern European Distribution Center Beta,1234567890,30000000
plymouth satellite,18.0,8.0,318.0,150.0,3436.0,11.0,70.0,1.0,USA,,Seg03,SegC,5,5,FleetA,EAST,ok,0.0010706058931542353,Pacific Rim Logistics and Supply Chain Gamma,12345678901234.5,0.000000123456789
,16.0,8.0,304.0,150.0,3433.0,12.0,70.0,1.0,USA,A,Seg04,SegD,9,9,FleetA,North,,0.0011077568505097088,Central Plains Research Laboratory Delta,0.0000001,5550000000000000
ford torino,17.0,8.0,302.0,140.0,3449.0,10.5,70.0,1.0,USA,B,Seg05,SegE,1,1,FleetA,south,none,0.0011461969784565778,Atlantic Coastal Engineering Station Epsilon,0.0000001234567890123456,1000000000000000000
ford galaxie 500,15.0,8.0,429.0,198.0,4341.0,10.0,70.0,1.0,USA,null,Seg06,SegF,2,2,FleetA,EAST,ok,0.0011859710123376694,Mountain West Quality Assurance Facility Zeta,0.30000000000000004,0.30000000000000004
chevrolet impala,14.0,8.0,454.0,220.0,4354.0,9.0,70.0,1.0,USA,A,Seg07,SegG,5,5,FleetA,North,,0.0012271252398511905,Great Lakes Production Operations Eta,3.141592653589793,1234567890
plymouth fury iii,14.0,NaN,440.0,215.0,4312.0,8.5,70.0,1.0,USA,B,Seg08,SegH,9,9,FleetA,south,none,0.0012697075549188031,Gulf Coast Materials Testing Institute Theta,2.718281828459045,0.000000000000001
pontiac catalina,14.0,8.0,455.0,225.0,4425.0,10.0,70.0,1.0,USA,C,Seg09,SegA,1,1,FleetA,EAST,ok,0.0013137675134229888,North American Manufacturing Division Alpha,1.4142135623730951,12345678901234.5
amc ambassador dpl,15.0,8.0,390.0,190.0,3850.0,8.5,70.0,1.0,USA,A,Seg10,SegB,2,2,FleetA,North,,0.0013593563908785254,Southwestern European Distribution Center Beta,0.1,30000000
citroen ds-21 pallas,NaN,4.0,133.0,115.0,3090.0,17.5,70.0,2.0,Europe,B,Seg11,SegC,5,5,FleetA,south,none,0.0014065272421052363,Pacific Rim Logistics and Supply Chain Gamma,0.01,0.000000123456789
chevrolet chevelle concours (sw),NaN,8.0,350.0,165.0,4142.0,11.5,70.0,1.0,,C,Seg12,SegD,9,9,FleetA,EAST,ok,0.0014553349629714215,Central Plains Research Laboratory Delta,0.001,5550000000000000
ford torino (sw),NaN,8.0,351.0,153.0,4034.0,11.0,70.0,1.0,USA,A,Seg01,SegE,1,1,FleetA,North,,0.00150583635427984,Atlantic Coastal Engineering Station Epsilon,0.000000000001,1000000000000000000
plymouth satellite (sw),NaN,8.0,383.0,175.0,4166.0,10.5,70.0,1.0,USA,B,Seg02,SegF,2,2,FleetA,south,none,0.0015580901878706047,Mountain West Quality Assurance Facility Zeta,1000000000000,0.30000000000000004
amc rebel sst (sw),NaN,8.0,360.0,175.0,3850.0,11.0,70.0,1.0,USA,C,Seg03,SegG,5,5,FleetA,EAST,ok,0.0016121572750178855,Great Lakes Production Operations Eta,999,1234567890
dodge challenger se,15.0,8.0,383.0,170.0,3563.0,10.0,70.0,1.0,USA,A,Seg04,SegH,9,9,FleetA,North,,0.0016681005372000592,Gulf Coast Materials Testing Institute Theta,1000,0.000000000000001
plymouth 'cuda 340,14.0,8.0,340.0,160.0,3609.0,8.0,70.0,1.0,USA,B,Seg05,SegA,1,1,FleetA,south,none,0.0017259850793256216,North American Manufacturing Division Alpha,999999,12345678901234.5
ford mustang boss 302,NaN,8.0,302.0,140.0,3353.0,8.0,70.0,1.0,USA,undefined,Seg06,SegB,2,2,FleetA,EAST,ok,0.0017858782655001291,Southwestern European Distribution Center Beta,1000000,30000000
chevrolet monte carlo,15.0,8.0,400.0,150.0,3761.0,9.5,70.0,1.0,USA,A,Seg07,SegC,5,5,FleetA,North,,0.0018478497974222907,Pacific Rim Logistics and Supply Chain Gamma,-30000000,0.000000123456789
buick estate wagon (sw),14.0,8.0,455.0,225.0,3086.0,10.0,70.0,1.0,USA,B,Seg08,SegD,9,9,FleetA,south,none,0.0019119717955005022,Central Plains Research Laboratory Delta,-0.0000001234,5550000000000000
toyota corona mark ii,24.0,4.0,113.0,95.0,2372.0,15.0,70.0,3.0,Japan,C,Seg09,SegE,1,1,FleetA,EAST,ok,0.0019783188827841641,Atlantic Coastal Engineering Station Epsilon,0,1000000000000000000
plymouth duster,22.0,6.0,198.0,95.0,2833.0,15.5,70.0,1.0,USA,A,Seg10,SegF,2,2,FleetA,North,,0.0020469682718075198,Mountain West Quality Assurance Facility Zeta,1,0.30000000000000004
amc hornet,18.0,6.0,199.0,97.0,2774.0,15.5,70.0,1.0,USA,B,Seg11,SegG,5,5,FleetA,south,none,0.0021179998544470289,Great Lakes Production Operations Eta,-1,1234567890
,21.0,6.0,200.0,85.0,2587.0,16.0,70.0,1.0,USA,C,Seg12,SegH,9,9,FleetA,EAST,ok,0.0021914962948968715,Gulf Coast Materials Testing Institute Theta,0.9999999999999999,0.000000000000001
datsun pl510,27.0,4.0,97.0,88.0,2130.0,14.5,70.0,3.0,Japan,A,Seg01,SegA,1,1,FleetA,North,,0.002267543125870802,North American Manufacturing Division Alpha,1000000000.0000001,12345678901234.5
volkswagen 1131 deluxe sedan,26.0,4.0,97.0,46.0,1835.0,20.5,70.0,2.0,Europe,B,Seg02,SegB,2,2,FleetA,south,none,0.0023462288481422623,Southwestern European Distribution Center Beta,0.000000000000001,30000000
peugeot 504,25.0,4.0,110.0,87.0,2672.0,17.5,70.0,2.0,Europe,C,Seg03,SegC,5,5,FleetA,EAST,ok,0.0024276450335386566,Pacific Rim Logistics and Supply Chain Gamma,1000000000000000000,0.000000123456789
audi 100 ls,24.0,NaN,107.0,90.0,2430.0,14.5,70.0,2.0,Europe,,Seg04,SegD,9,9,FleetA,North,,0.0025118864315095794,Central Plains Research Laboratory Delta,5550000000000000,5550000000000000
saab 99e,25.0,4.0,104.0,95.0,2375.0,17.5,70.0,2.0,Europe,B,Seg05,SegE,1,1,FleetA,south,none,0.0025990510793930943,Atlantic Coastal Engineering Station Epsilon,1234567890123456,1000000000000000000
bmw 2002,26.0,4.0,121.0,113.0,2234.0,12.5,70.0,2.0,Europe,C,Seg06,SegF,2,2,FleetA,EAST,ok,0.0026892404165083181,Mountain West Quality Assurance Facility Zeta,100000000000,0.30000000000000004
amc gremlin,21.0,6.0,199.0,90.0,2648.0,15.0,70.0,1.0,USA,A,Seg07,SegG,5,5,FleetA,North,,0.0027825594022071257,Great Lakes Production Operations Eta,30000000,1234567890
